claim,label_multi,label_bin,speaker,date_parsed
Green Party presidential nominee Jill Stein cost Democratic nominee Kamala Harris an election win in Wisconsin.,refutes,0,Threads posts,2024-11-08
President-elect Donald Trump “has been to Epstein’s island”,refutes,0,Instagram posts,2024-11-08
“Elon Musk bans Stephen King permanently from platform X after he trolled the tech mogul.”,refutes,0,Threads posts,2024-11-08
20 million Democratic votes “disappeared” in 2024.,refutes,0,Threads posts,2024-11-07
Image shows Disney+ poster for new “Home Alone” sequel titled “Cabin Alone.”,refutes,0,Facebook posts,2024-11-07
"“Elon Musk: ‘Voy a lanzar la NUEVA casa de Tesla de 15,000 dólares en 2025’”.",refutes,0,Facebook posts,2024-11-07
"A CNN headline says “75,000 votes were write-ins for ‘Hawk Tuah’ and ‘Talk Tuah.’”",refutes,0,Instagram posts,2024-11-07
“CCTV captures the moment a Trump voter in (Wisconsin) is assaulted by two Kamala Harris thugs at a voting station.”,refutes,0,X posts,2024-11-07
“I think they found a way to target Democratic districts and send millions of votes into a black hole. The numbers aren't adding up.”,refutes,0,Threads posts,2024-11-07
“Riley Gaines criticizes Whoopi Goldberg on The View: ‘You’re a disgrace to real women!’”,refutes,0,Threads posts,2024-11-07
"“Kamala Harris simuló una llamada con un votante, pero por error mostró que su telefono tenía abierta la cámara y en realidad no estaba hablando con nadie”.",refutes,0,Instagram posts,2024-11-07
A video of Vice President Kamala Harris talking to a voter on the phone is fake because the camera app was on while she was on the call.,refutes,0,Instagram posts,2024-11-06
The 2024 election results show that Joe Biden’s 80 million votes in 2020 were a “lie.”,refutes,0,Dinesh D'Souza,2024-11-06
"Vans filled with 50,000 ballots show up in Philadelphia during live MSNBC report.",refutes,0,X posts,2024-11-06
Videos show President-elect Donald Trump promised to help Pakistan’s former prime minister Imran Khan get out of prison and retake power.,refutes,0,Facebook posts,2024-11-06
“Mark Cuban’s net worth takes a $1 billion hit after controversial endorsement” of Kamala Harris,refutes,0,Threads posts,2024-11-06
Kamala Harris wants people to stop saying “Merry Christmas.”,refutes,0,Instagram posts,2024-11-06
Pacific Gas & Electric Co. deliberately shut off power “on Republican voters” in California on Election Day.,refutes,0,X posts,2024-11-06
A video showing conversations about noncitizen voting outside a Philadelphia city commissioners' office is proof of “Pennsylvania election fraud.”,refutes,0,X posts,2024-11-06
"""Informan que las boletas electorales de Ohio muestran el nombre de Donald Trump mal escrito"".",refutes,0,Threads posts,2024-11-06
Photo shows 2024 ballots cast for Republicans in North Carolina that a postal worker said he was going to make “disappear.”,refutes,0,Instagram posts,2024-11-06
Imagen muestra al expresidente Donald Trump y a su esposa Melania Trump votando en las elecciones de 2024.,refutes,0,Facebook posts,2024-11-06
“Melania Trump quietly endorses Kamala Harris for president.”,refutes,0,Threads posts,2024-11-06
"""El Pentágono falló en enviar las boletas para el voto en ausencia al personal militar activo"".",refutes,0,X posts,2024-11-06
“Homeland Security is having a cybersecurity drill on the same day as the election.”,refutes,0,Viral image,2024-11-06
A Melania Trump impostor accompanied former President Donald Trump to the polls Nov. 5.,refutes,0,Threads posts,2024-11-05
Text message shows Turnout the Vote offering “$200 to vote for Kamala Harris.”,refutes,0,Instagram posts,2024-11-05
Nevada ballots “don’t even have to be postmarked to be counted” after the election.,refutes,0,Facebook posts,2024-11-05
"Says U.S. Rep. Jamie Raskin said, “Let folks cast their votes for Trump if that’s their choice. But mark my words, we won’t be certifying the election. He might win, but we’ll ensure he doesn’t step foot in the Oval Office.”",refutes,0,Threads posts,2024-11-05
"A Nov. 5 ballot scanning error in Cambria County, Pennsylvania, shows ""the election steal is happening.""",refutes,0,X posts,2024-11-05
Video shows Fox News contributors speculating about former President Donald Trump’s cognitive health.,refutes,0,Viral image,2024-11-05
“It’s now been confirmed by Dominion that their voting machines have a programming issue that will affect vote counts.”,refutes,0,Instagram posts,2024-11-05
"Former President Donald Trump posted on Truth Social, “I hate SNL.”",refutes,0,Viral image,2024-11-05
"A “ballot mule” was caught on camera Nov. 2 in Lincoln, Nebraska.",refutes,0,Instagram posts,2024-11-05
"""The Pentagon reportedly failed to send absentee ballots to active military service members before the election.”",refutes,0,Instagram posts,2024-11-05
Photo shows former President Donald Trump voting in the 2024 election in New York.,refutes,0,Instagram posts,2024-11-05
"Gwinnett County, Georgia, sheriff's office said white supremacists “are planning to attack” Black people “from now until the Inauguration.”",refutes,0,Facebook posts,2024-11-05
A photo shows actor Keanu Reeves holding an anti-Trump shirt.,refutes,0,Viral image,2024-11-05
Says Donald Trump Jr. “has a banner photo of Joe Biden being hung from a helicopter.”,refutes,0,Threads posts,2024-11-05
"""Haitianos afirman haber llegado a EEUU hace solo 6 meses y ya tienen documentos de legalidad que les permite votar en Georgia"".",refutes,0,X posts,2024-11-04
“Kari Lake is threatening Social Security and Medicare.”,supports,1,WinSenate,2024-11-04
“Elon Musk está trabajando en un robot diseñado para llevar un bebé durante nueve meses”.,refutes,0,Threads posts,2024-11-04
“The United States Postal Service recently changed the delivery method of absentee mail-in ballots” to hide “the evidence of absentee mail-in ballot fraud.”,refutes,0,X posts,2024-11-04
Photo shows Donald Trump statement condemning the Peanut the squirrel’s euthanasia,refutes,0,Facebook posts,2024-11-04
"If a ballot has a small dot in the box for Vice President Kamala Harris, “any other box filled in, will be void.”",refutes,0,Facebook posts,2024-11-04
An image shows CNN reporting that Vice President Kamala Harris has more votes than former President Donald Trump in Texas.,refutes,0,X posts,2024-11-04
Este video muestra a un votante en Kentucky tratando de votar por el expresidente Donald Trump y la máquina de votación no le deja.,refutes,0,Instagram posts,2024-11-04
Michael Jordan endorsed Donald Trump for president in the 2024 election.,refutes,0,X posts,2024-11-04
"Says Liz Cheney said, “Donald Trump is now literally threatening to have me killed. If you don’t want to live in a banana republic run by a senile man with some sort of Daffy Duck disease, vote for Kamala.”",refutes,0,Threads posts,2024-11-04
"Former President Donald Trump posted on Truth Social and addressed claims about his use of a microphone, saying “I was pretending to eat a corn dog.”",refutes,0,Threads posts,2024-11-04
Video shows Kamala Harris has a “drinking problem.”,refutes,0,Instagram posts,2024-11-04
The FBI seized a video of former Secretary of State Hillary Clinton killing a child at a Sean “Diddy” Combs party.,refutes,0,Instagram posts,2024-11-03
Dominion Voting Systems employee Eric Coomer told an Antifa meeting he “made sure” Donald Trump wouldn’t win.,refutes,0,Instagram posts,2024-11-03
“Joe Rogan says he will not be voting for Trump after having him on the podcast.”,refutes,0,Threads posts,2024-11-03
Video shows the FBI reported that “three linked groups have been apprehended for rigging early voting by mail-in ballot.”,refutes,0,X posts,2024-11-03
"Vice President Kamala Harris and husband Doug Emhoff received $500,000 for tipping off Sean “Diddy” Combs about police raids.",refutes,0,Patriot Voice,2024-11-02
“I never mentioned” wanting to end the Affordable Care Act.,refutes,0,Donald Trump,2024-11-02
“Ballots in Ohio are showing Trump’s name misspelled!”,refutes,0,X posts,2024-11-01
Vice President Kamala Harris’ mother “worked the MK Ultra program” and was “involved in secret mind-control experiments.”,refutes,0,Instagram posts,2024-11-01
Video shows a ‘Democratic operative’ making credible allegations of fraud during the 2020 presidential election in Georgia.,refutes,0,Instagram posts,2024-11-01
"A video shows Haitians showing duplicate IDs, claiming they are voting for Vice President Kamala Harris in multiple Georgia counties.",refutes,0,X posts,2024-11-01
Former President Donald Trump would “force states to monitor women's pregnancies.”,refutes,0,Kamala Harris,2024-11-01
"Video shows “ballot mule in Northampton County, Pennsylvania, (dropping) off a large amount of ballots.”",refutes,0,X posts,2024-11-01
Video shows “voting machines in Kentucky are not allowing voters to select” Donald Trump for president.,refutes,0,Social Media,2024-11-01
Video muestra que “‘votantes’ ilegales SE COLARON a LA FILA OTRA VEZ! En Pensilvania estado clave”.,refutes,0,X posts,2024-11-01
Photos show “Trump funded signs with swastikas on them.”,refutes,0,Threads posts,2024-11-01
Republican Senate candidate Sam Brown “wants to cut Medicaid and Social Security.”,supports,1,Make the Road Nevada,2024-11-01
"“As California attorney general, (Kamala Harris) redefined child sex trafficking, assault with a deadly weapon, and rape of an unconscious person as a totally nonviolent crime.”",refutes,0,Donald Trump,2024-11-01
"In Glynn County, Georgia, it was 'voter fraud' when poll workers found no record of a person who already voted.",refutes,0,Facebook posts,2024-10-31
"Data shows some voters cast multiple votes, meaning ""at least 164,568 illegal votes have been cast” in Michigan.",refutes,0,Facebook posts,2024-10-31
"U.S. Rep. Marjorie Taylor Greene said on X, “New York and California are absolutely flipping red.”",refutes,0,Viral image,2024-10-31
"Vice President Kamala Harris didn’t respond to questions about a cognitive test in a CBS News interview that aired Oct. 28, 2024.",refutes,0,Viral image,2024-10-31
An E. coli outbreak followed former President Donald Trump’s campaign stop at a Pennsylvania McDonald’s.,refutes,0,Threads posts,2024-10-31
Photos show Vice President Kamala Harris when she was “a former call girl in California.”,refutes,0,Viral image,2024-10-31
Sen. Jon Tester “voted to let men compete against our girls in their sports.”,refutes,0,Senate Leadership Fund,2024-10-31
"El expresidente Donald Trump “se vistio de negro y dorado, colores del grupo Proud Boys” en mitín en el Madison Square Garden el 27 de octubre del 2024.",refutes,0,X posts,2024-10-31
"""Right to Try"" experimental drug program saved ""thousands and thousands of lives.""",refutes,0,Donald Trump,2024-10-31
“Revolucionarios Comunistas de América” marcharon a favor de Kamala Harris.,refutes,0,Instagram posts,2024-10-31
"Video shows Kamala Harris saying, “Trump is literally Hitler,” on Joe Rogan’s podcast.",refutes,0,Threads posts,2024-10-31
"""El fondo de innovación para la deuda americana está ayudando a los hispanoamericanos a borrar hasta $50,000 de deuda de tarjetas de crédito...para evitar otra recesión"".",refutes,0,Facebook posts,2024-10-31
"In Lancaster, Pa., “We caught them with 2,600 votes. We caught them cold, 2,600 votes. ... And every vote was written by the same person.""",refutes,0,Donald Trump,2024-10-30
Kamala Harris paid The Shade Room to interview her “for perceived support amongst black voters.”,refutes,0,Instagram posts,2024-10-30
Video shows “illegal ‘voters’ cutting the line” to vote in Pennsylvania.,refutes,0,Instagram posts,2024-10-30
"""AOC is worth 29 Million dollars! How did that happen, on $174,000 per year?""",refutes,0,Threads posts,2024-10-30
Video shows people “marching in Puerto Rico” after former President Donald Trump’s Madison Square Garden rally.,refutes,0,Threads posts,2024-10-30
"In Fordyce, Arkansas, voting machines changed votes from Republican to Democrat.",refutes,0,Facebook posts,2024-10-30
Says Eric Hovde “claims anyone who believes in transitioning to a clean energy economy is ‘smoking crack cocaine.’”,refutes,0,Climate Power,2024-10-30
"“Feds RAID Jay Z & Beyonce Mansion After Diddy LINKS,” arrest couple.",refutes,0,Threads posts,2024-10-30
A Montana Democratic operative was caught tampering with a ballot box.,refutes,0,Facebook posts,2024-10-30
A Pennsylvania TV station aired the 2024 presidential election results early.,supports,1,Viral image,2024-10-30
"Former President Donald Trump wore “Proud Boy gang colors” Oct. 27, 2024, at Madison Square Garden.",refutes,0,Instagram posts,2024-10-30
Image shows an anti-Trump billboard outside Madison Square Garden.,refutes,0,X posts,2024-10-29
"""The cocaine found in the White House was Kamala’s.”",refutes,0,Instagram posts,2024-10-29
“Kamala campaign photoshops her with a McDonald’s uniform!”,refutes,0,Instagram posts,2024-10-29
"At Vice President Kamala Harris’ Houston campaign rally, when an attendee had a medical emergency, none of the “abortion doctors” onstage helped.",refutes,0,Instagram posts,2024-10-29
Photos show federal authorities arrested and charged a clone instead of the real Sean “Diddy” Combs.,refutes,0,Instagram posts,2024-10-29
"""Nicki Minaj just endorsed Donald Trump for President.”",refutes,0,Social Media,2024-10-29
“Jacky Rosen voted to allow biological men to compete in women’s sports.”,refutes,0,Sam Brown,2024-10-29
"“In Montana, we cherish our public lands. But Tim Sheehy called to transfer them off, so the ultra-rich can buy them up.”",refutes,0,Jon Tester,2024-10-29
El expresidente Donald Trump dijo “ESTOY PIDIENDO LA PENA DE (MUERTE) PARA CUALQUIER MIGRANTE”.,refutes,0,Facebook posts,2024-10-29
"There are “180,000 registered new Amish voters in Lancaster, Pennsylvania.”",refutes,0,X posts,2024-10-29
“Milwaukee is one of the sex trafficking capitals in our country.”,supports,1,Eric Hovde,2024-10-29
“Elon Musk launches new pregnancy robot.”,refutes,0,Facebook posts,2024-10-29
Vice Presidential nominee Tim Walz “says that if Democrats win they’ll make (U.S. Rep. Alexandria Ocasio-Cortez) speaker of the house.”,refutes,0,Instagram posts,2024-10-29
"""Circula este video de un hombre que rompe los votos para Donald Trump y guarda las de Kamala Harris”.",refutes,0,Instagram posts,2024-10-28
An old photo shows Kamala Harris in a McDonald’s uniform.,refutes,0,Social Media,2024-10-28
“Beyonce got paid $10 MILLION for her speech” at a Kamala Harris rally.,refutes,0,Instagram posts,2024-10-28
"Four Florida counties had “zero results” Oct. 26, and “something underhanded might be happening.”",refutes,0,Threads posts,2024-10-28
Photo shows people lined up outside Madison Square Garden before an Oct. 27 rally by former President Donald Trump.,refutes,0,X posts,2024-10-28
"Sen. Bob Casey ""has voted in lockstep with his liberal party to defund the police.""",refutes,0,Dave McCormick,2024-10-28
“BREAKING: Lizzo charged the Harris-Walz campaign $2.3 million for a single appearance at a Detroit rally.”,refutes,0,X posts,2024-10-28
“Ballots are not supposed to have fold lines or creases in the candidates name area” or it could invalidate your vote.,refutes,0,Facebook posts,2024-10-26
"Scott Lassiter “repeatedly campaigned to promote” North Carolina's “largest-ever” school funding cut, sending public school money to “unaccountable private schools” and ending science education.",refutes,0,Lisa Grafstein,2024-10-25
"Video shows an election worker destroying mail ballots with votes for former President Donald Trump in Bucks County, Pennsylvania.",refutes,0,X posts,2024-10-25
Kamala Harris’ statements about Trump invoking Adolf Hitler were based on a “debunked hoax from The Atlantic.”,refutes,0,Threads posts,2024-10-25
"Kamala Harris ""proclaimed she would not accept the outcome of the election and has a team of lawyers ready to overturn them""",refutes,0,Instagram posts,2024-10-25
Kamala Harris imprisoned a woman for three years for praying.,refutes,0,Instagram posts,2024-10-25
“El gobernador de la Florida dice que por el momento va a pausar” la ley S.B. 1718 porque necesitan que los hispanos reconstruyan el estado tras la destrucción del huracán Milton.,refutes,0,Instagram posts,2024-10-25
"""The Defense Department, with the stroke of a pen, has quietly codified its right to deploy lethal force against its own citizens.”",refutes,0,Social Media,2024-10-25
El expresidente Donald Trump quiere eliminar la Ley del Cuidado de Salud a Bajo Precio.,supports,1,Kamala Harris,2024-10-25
“Land O Lakes has announced the return of the iconic squaw to its packaging.”,refutes,0,Viral image,2024-10-25
"""Ruben Gallego wanted to defund the police. He actually co-sponsored legislation to defund the police.”",refutes,0,Kari Lake,2024-10-25
"“The cheat has begun” because “Michigan, Georgia and Pennsylvania have officially announced that they will not have election results available on election night.”",refutes,0,Threads posts,2024-10-25
The Biden-Harris administration “brought over” 10 million migrants who got 9 million jobs.,refutes,0,Threads posts,2024-10-25
Ballot drop boxes 'were only used for a pandemic.',refutes,0,Eric Hovde,2024-10-25
Vice President Kamala Harris has been “going so far as to call me Adolf Hitler.”,refutes,0,Donald Trump,2024-10-24
"Voting machines in Shelby County, Tennessee, are swapping votes from Kamala Harris to Donald Trump.",refutes,0,Instagram posts,2024-10-24
"“Schaumburg, Illinois not recording votes, just putting votes ‘in a box.’”",refutes,0,Social Media,2024-10-24
"""As of today, we have cut the flow of immigration by over half.""",supports,1,Kamala Harris,2024-10-24
"""Breaking: Voters in Tarrant County, Texas are reporting that the voting machines are flipping their votes from Trump to Kamala Harris.""",refutes,0,Facebook posts,2024-10-24
"“Elon Musk reportedly eyeing CNN acquisition: ‘I’ll fix the media, one network at a time.’”",refutes,0,Threads posts,2024-10-24
“Elon Musk urges a boycott of ABC Network: ‘Let’s take them down!’”,refutes,0,Facebook posts,2024-10-24
Lt. Gen. H.R. McMaster was arrested “for aiding FEMA in deep state’s ‘eminent domain’ takeover of North Carolina.”,refutes,0,Viral image,2024-10-24
Michigan U.S. Senate candidate Mike Rogers “wants to cut Medicare and Social Security.”,refutes,0,United Auto Workers,2024-10-24
Former President Donald Trump wants to take away the Affordable Care Act.,supports,1,Kamala Harris,2024-10-24
"""Se ha desaparecido el famoso Dr. Juan Rivera después de revelar este simple secreto de salud que podría dejar los hospitales vacíos"", la ashwagandha.",refutes,0,Facebook posts,2024-10-24
Says opponent Eric Hovde “supports a $4 trillion tax plan that would disproportionately advantage the well-off and profitable corporations”,supports,1,Tammy Baldwin,2024-10-24
A photo shows The Atlantic published a story headlined “Trump is Literally Hitler.”,refutes,0,X posts,2024-10-23
"“Breaking news: Elon Musk endorses Caitlin Clark, will soon donate $10 million: ‘You are the pride of America, I support you.’”",refutes,0,Facebook posts,2024-10-23
Jussie Smollett is Kamala Harris’ nephew.,refutes,0,Instagram posts,2024-10-23
"""Reports from Whitfield County, GA that Dominion machines are flipping votes. This is exactly the kind of fraud we saw in 2020.""",refutes,0,Marjorie Taylor Greene,2024-10-23
“BREAKING: Diddy hospitalized after being jumped in prison.”,refutes,0,Instagram posts,2024-10-23
"“Liberal woman films herself eating dog food” because she said, “I’m eating dog food until Kamala is president.”",refutes,0,Instagram posts,2024-10-23
Michigan has “more registered voters than eligible citizens. This creates a huge risk of election fraud.”,refutes,0,X posts,2024-10-23
Vice President Kamala Harris “wants struggling seniors to pay more Social Security taxes while she gives Medicare and Social Security to illegals.”,refutes,0,Donald Trump,2024-10-23
“Breaking: Florida Governor Ron DeSantis says Dominion voting systems will NOT operate in the state of Florida. ”,refutes,0,Threads posts,2024-10-23
“We're bankrupting a lot of hospitals by forcing these hospitals to provide care for people who don't have the legal right to be in our country.”,refutes,0,JD Vance,2024-10-23
"“There was a bill to basically create a ban to make sure we never become a sanctuary state, that no locality passes those regulations, and (former Manchester Mayor Joyce Craig) opposed that bill.”",supports,1,Kelly Ayotte,2024-10-23
"Gubernatorial candidate Kelly Ayotte “has voted for national abortion bans, she has voted to defund Planned Parenthood, and she shepherded Neil Gorsuch through the Supreme Court process, and then celebrated when Roe v. Wade was overturned.”",supports,1,Joyce Craig,2024-10-23
"If an election worker writes anything on your ballot before you put it in the voting machine, “your ballot could be disqualified.”",refutes,0,Instagram posts,2024-10-23
The Oregon secretary of state “removed” former President Donald Trump and U.S. Sen. JD Vance from “the official state website.”,refutes,0,Instagram posts,2024-10-22
“Melania Trump declares that she wants a divorce.”,refutes,0,Facebook posts,2024-10-22
Donald Trump offered “food for everyone” at his McDonald’s press conference and then left without paying.,refutes,0,Threads posts,2024-10-22
"To pay for extending the Trump tax cuts, Dave McCormick has “made clear he’ll slash your Medicare and Social Security, and cut Medicaid for nursing home care.”",refutes,0,Bob Casey,2024-10-22
Photo shows former President Donald Trump sitting on a black towel on “Fox & Friends” because “they don’t want him to stain the sofa.”,refutes,0,Threads posts,2024-10-22
“Breaking news: Megyn Kelly calls for boycott of Taylor Swift after singer attends charity event in Gaza.”,refutes,0,Threads posts,2024-10-22
Video shows “Karl Rove rallying support for Kamala Harris yesterday in Pennsylvania.”,refutes,0,Threads posts,2024-10-22
A pro-Kamala Harris website shows she supports a mandatory gun buyback program.,refutes,0,Progress 2028,2024-10-21
“GA election official Gabriel Sterling says audits will take place after election day because it’s ‘nerve-racking’ to count ballots in front of poll watchers.”,refutes,0,Instagram posts,2024-10-21
"""Michael Jackson discovered alive at age 65” and will testify against Sean “Diddy” Combs.",refutes,0,Facebook posts,2024-10-21
"Former President Donald Trump posted on Truth Social and addressed claims of his “incontinence,” saying, “I don’t poop myself.”",refutes,0,Threads posts,2024-10-21
Estas son imágenes del huracán Milton en Florida.,refutes,0,Facebook posts,2024-10-21
"As part of his “charitable donations,” in 1990 Donald Trump “chartered a private plane to get Nelson Mandela to America when the U.S. government wouldn't help.""",refutes,0,Instagram posts,2024-10-19
"There was an Oct. 17, 2024, hospital update about the health of Kate Middleton, Princess of Wales.",refutes,0,Facebook posts,2024-10-18
Kamala Harris “supports taxpayer-funded sex changes for prisoners and illegal aliens.”,supports,1,Donald Trump,2024-10-18
"“About 400,000 manufacturing jobs in the state of Michigan will go away with EV mandates.”",refutes,0,Mike Rogers,2024-10-18
The northern lights are proof of the sky “glowing with chemicals” sprayed in the sky.,refutes,0,Threads posts,2024-10-18
"“Trump's convictions have all been overturned and he is getting his $500,000,000.00 back!”",refutes,0,Threads posts,2024-10-18
Photo shows Vice President Kamala Harris and Sean “Diddy” Combs.,refutes,0,Viral image,2024-10-18
"“Elon Musk takes over Taylor Swift’s X account, causing her to lose 7 million followers and $100 million in brand deals.”",refutes,0,Facebook posts,2024-10-18
"Vice President Kamala Harris commented on President Joe Biden’s “mental fitness,” saying, “he’s not stable” and “we should all be concerned.”",refutes,0,Instagram posts,2024-10-18
"Detroit’s Oct.15, 2024, absentee ballot return rate proves election fraud.",refutes,0,X posts,2024-10-17
"Fox News reported Donald Trump donated $1,300 for hurricane relief.",refutes,0,Instagram posts,2024-10-17
"“Kamala Harris staged hurricane relief photo op with C-17, no supplies sent to victims.”",refutes,0,Instagram posts,2024-10-17
Screenshots of documents show a former student of Democratic vice presidential candidate Tim Walz has lodged sexual abuse allegations against him.,refutes,0,X posts,2024-10-17
Elissa Slotkin “signed a secret agreement with a CCP-linked Chinese battery company.”,refutes,0,Michigan Republican Party,2024-10-17
Says former President Donald Trump did not lose the 2020 election.,refutes,0,JD Vance,2024-10-17
"Vice President Kamala Harris' plan “will raise taxes for the typical American family by an estimated $3,000.""",refutes,0,Donald Trump,2024-10-17
Says Donald Trump posted on Truth Social it “should be illegal” and is “election interference” for Barack Obama to criticize him.,refutes,0,Viral image,2024-10-17
"The Sept. 10 presidential debate was edited to cut comments from Vice President Kamala Harris about “$6,400 relief checks.”",refutes,0,Viral image,2024-10-16
Journalist Bob Woodward posted on X that Donald Trump wears adult diapers.,refutes,0,Threads posts,2024-10-16
“FEMA helicopters caught disrupting North Carolina supplies by using a ‘rotor wash’.”,refutes,0,Social Media,2024-10-16
La administración de Joe Biden tomó dinero de ayudas de FEMA para usarlo en inmigrantes.,refutes,0,Instagram posts,2024-10-16
Video shows former Vice President Mike Pence endorsing Vice President Kamala Harris and Minnesota Gov. Tim Walz.,refutes,0,Social Media,2024-10-15
Says former President Donald Trump posted on Truth Social that former President Barack Obama “was ashamed at how much better of a golfer that I am.”,refutes,0,Viral image,2024-10-15
"Says former President Donald Trump posted on Truth Social, “I hope that America obliterates Israel.”",refutes,0,Instagram posts,2024-10-15
La vicepresidenta Kamala Harris “usó el teleprompter para contestar las preguntas” de Univision.,refutes,0,Facebook posts,2024-10-15
"""The ERA could also mandate that schools allow biological males to compete in girls' sports.""",supports,1,Coalition to Protect Kids NY,2024-10-15
Video shows footage of Hurricane Milton in Florida.,refutes,0,Instagram posts,2024-10-15
Video clips show Hurricane Milton hitting Florida “with wind speed 185 mph as Category 5”,refutes,0,TikTok posts,2024-10-15
Photos show that Disney World was “destroyed by Hurricane Milton.”,refutes,0,Facebook posts,2024-10-14
"""Kid Rock heads to North Carolina with Millions in supplies. Taylor Swift Nowhere to be Found.”",refutes,0,Threads posts,2024-10-13
“It has just come out that Democrats in Washington and the Democrat Governor’s Office of North Carolina (Roy Cooper) were blocking people and money from coming into North Carolina.”,refutes,0,Donald Trump,2024-10-12
“Hurricane Nadine” was on a path to hit Florida on Oct. 10.,refutes,0,Instagram posts,2024-10-12
Vice President Kamala Harris’ “60 Minutes” interview may be “a major Campaign Finance Violation.”,refutes,0,Donald Trump,2024-10-12
Republican state Senate candidate Ashlee Adams “campaigned for Mark Robinson and his radical agenda.”,refutes,0,Terence Everitt,2024-10-12
“Univision accidentally shows that Kamala Harris is reading from a teleprompter live on air.”,refutes,0,Instagram posts,2024-10-11
2023 FEMA webinar shows the agency is prioritizing its relief efforts around LGBTQ+ people,refutes,0,X posts,2024-10-11
North Carolina’s new voting rules in response to Hurricane Helene amount to “cheating” or “stealing.”,refutes,0,X posts,2024-10-11
"The government gave $3,500 debit cards to immigrants while giving only $750 to Hurricane Helene victims.",refutes,0,Facebook posts,2024-10-11
"“Arizona was safe” when she moved to the state in 1994, but has become “unsafe.”",refutes,0,Kari Lake,2024-10-11
An image shows a child affected by recent hurricanes in the United States.,refutes,0,Viral image,2024-10-11
“We have cut the flow of fentanyl by half.”,refutes,0,Kamala Harris,2024-10-11
“Hurricane Nadine was a catastrophic Category 5 hurricane that struck Central America and the Bahamas in October 2024.”,refutes,0,Instagram posts,2024-10-11
Minnesota Gov. Tim Walz gave a college football crowd “the bird.”,refutes,0,Viral image,2024-10-11
Says Minnesota Gov. Tim Walz was “banned from future games for flipping off the fans.”,refutes,0,Threads posts,2024-10-11
Image shows the projected trajectory for a Hurricane Nadine is “the same path as Helene.”,refutes,0,Viral image,2024-10-11
Video shows “people attempting to flee Florida & Hurricane Milton.”,refutes,0,Threads posts,2024-10-11
“Two weeks ago 100 GOP lawmakers voted against additional FEMA funding.”,supports,1,Robert Reich,2024-10-11
"Says Democratic opponent Tammy Baldwin ""gave stimulus checks to illegals.""",refutes,0,Eric Hovde,2024-10-11
Patents dating back to the 1800s show that people can control the weather.,refutes,0,Marjorie Taylor Greene,2024-10-10
U.S. Sen. Sherrod Brown voted to “allow transgender biological men to compete in girls’ sports.”,refutes,0,Senate Leadership Fund,2024-10-10
"""Los 750 dólares que nuestra generosa administración ha ofrecido a las víctimas del huracán Helene son un PRÉSTAMO! Tienen un año para devolverlo"".",refutes,0,X posts,2024-10-10
“Taylor Swift blames Instagram for losing millions of followers after Harris endorsement: ‘It must be a glitch!”,refutes,0,Facebook posts,2024-10-10
“FEMA is supposed to help out white people last for the purpose of ‘equity.’ … It’s literally on the FEMA website.”,refutes,0,Threads posts,2024-10-10
“They create hurricanes via cloud seeding” and “direct them where they want the Hurricane to go!”,refutes,0,Facebook posts,2024-10-10
"Says Wisconsin GOP U.S. Senate candidate Eric Hovde ""brags about being in the 1%.""",supports,1,Democratic Senatorial Campaign Committee,2024-10-10
The U.S. government is offering Americans loans to pay for flights out of Lebanon while they have been flying Israeli citizens out of Israel on chartered flights for a year “on our dime.”,refutes,0,Threads posts,2024-10-09
A Republican representative posted a response to the vice presidential debate before it happened.,refutes,0,Viral image,2024-10-09
Hurricane Milton is part of Tampa’s plan to become a “15-minute city.”,refutes,0,Instagram posts,2024-10-09
“FEMA is closing roads and bridges and causing gridlock traffic during evacuations from Hurricane Milton.”,refutes,0,TikTok posts,2024-10-09
Taylor Swift “admits to having done immoral things with Diddy in the past to gain fame.”,refutes,0,Facebook posts,2024-10-09
“Taylor Swift’s manager confirms: ‘Ticket sales are dead after Harris endorsement backlash.”,refutes,0,Facebook posts,2024-10-09
"Hurricane Milton article is evidence they ""control and plan these storms.""",refutes,0,Instagram posts,2024-10-08
Alexa’s answers to questions about Hurricane Helene prove the storm was “artificially created” or the result of “cloud seeding”,refutes,0,Facebook posts,2024-10-08
Video shows “geoengineering happening” as Hurricane Milton approaches Florida.,refutes,0,Instagram posts,2024-10-08
"Of Gaza, “I’ve been there.”",refutes,0,Donald Trump,2024-10-08
"""We now have historic low unemployment in America among all groups of people.""",supports,1,Kamala Harris,2024-10-08
The Biden administration stole $1 billion “from FEMA to use it for illegal migrants. … And FEMA is now busted. They don’t have any money.”,refutes,0,Donald Trump,2024-10-08
“Taylor Swift’s concert tickets” fell to $75 after she endorsed Kamala Harris,refutes,0,Facebook posts,2024-10-08
"La vicepresidenta Kamala Harris ofrece ""solo $750 para los norteamericanos qué perdieron todo con el Huracan"" Helene.",refutes,0,Instagram posts,2024-10-08
"FEMA, FAA are “blocking” delivery of Starlink devices and supplies to North Carolina’s hurricane-hit areas.",refutes,0,Social Media,2024-10-08
Hurricane Helene was planned to seize land in North Carolina for lithium mining.,refutes,0,Social Media,2024-10-08
"""FEMA is out of money and doesn't have money to transfer to those people affected by the hurricane ... they used the money to assist illegal immigrants.""",refutes,0,Eric Hovde,2024-10-08
